"","fy","fye","month","plan_name","plan_full_name","state","aal","avg_return","avg_opt_benchmark_return","avg_custom_benchmark_return","avg_opt_benchmark_excess","avg_custom_benchmark_excess","x_group","target"
"1",2020,2020-09-30,9,"Alabama ERS","Employees' Retirement System of Alabama","Alabama",19786472,0.0614634277924655,0.0768733293563109,0.0690054606937465,-0.0154099015638454,-0.00754203290128097,"group","Others"
"2",2020,2020-06-30,6,"Alaska PERS","State of Alaska Public Employees' Retirement System","Alaska",15279525,0.066231851930058,0.0657009710170489,0.0686746038929265,0.000530880913009124,-0.00244275196286847,"group","Others"
"3",2020,2020-06-30,6,"Arizona SRS","Arizona State Retirement System","Arizona",56710704,0.0670501668437327,0.0704440536715876,0.0686746038929265,-0.00339388682785491,-0.00162443704919379,"group","Arizona SRS"
"4",2020,2020-06-30,6,"Arkansas PERS","Arkansas Public Employees Retirement System","Arkansas",11513000,0.0680100849187864,0.0686536470429575,0.0686746038929265,-0.00064356212417116,-0.000664518974140105,"group","Others"
"5",2020,2020-06-30,6,"California PERF","California Public Employees Retirement Fund","California",554678976,0.0621079209109028,0.0686292849764063,0.0686746038929265,-0.00652136406550352,-0.00656668298202367,"group","Others"
"6",2020,2020-12-31,12,"Colorado State","Colorado Public Employee Retirement Association-State Division","Colorado",27116806,0.0784844572731087,0.0743075543153924,0.0769707408722551,0.00417690295771633,0.00151371640085363,"group","Others"
"7",2020,2020-06-30,6,"Connecticut SERS","Connecticut State Employees Retirement System","Connecticut",36971136,0.0605376598095149,0.0651417200994449,0.0686746038929265,-0.00460406028992999,-0.00813694408341159,"group","Others"
"8",2020,2020-06-30,6,"Florida RS","Florida Retirement System","Florida",200277168,0.0671699581297154,0.0673632064486986,0.0686746038929265,-0.000193248318983263,-0.00150464576321108,"group","Others"
"9",2020,2020-06-30,6,"Hawaii ERS","Employees' Retirement System of the State of Hawaii","Hawaii",32691800,0.0546727148737918,0.064943645928689,0.0686746038929265,-0.0102709310548972,-0.0140018890191347,"group","Others"
"10",2020,2020-06-30,6,"Idaho PERS","Public Employee Retirement System of Idaho","Idaho",19828500,0.0695415576559808,0.0627481263366445,0.0686746038929265,0.0067934313193363,0.000866953763054346,"group","Others"
"11",2020,2020-06-30,6,"Illinois SERS","State Employees' Retirement System of Illinois","Illinois",50145832,0.06152442700602,0.0690413736033995,0.0686746038929265,-0.00751694659737945,-0.00715017688690645,"group","Others"
"12",2020,2020-06-30,6,"Illinois Universities","State Universities Retirement System of Illinois","Illinois",47580472,0.0664435077333667,0.0667710320568109,0.0686746038929265,-0.000327524323444184,-0.00223109615955974,"group","Others"
"13",2020,2020-06-30,6,"Indiana PERF","State of Indiana Public Employees' Retirement Fund","Indiana",16281754,0.0505327612350339,0.0657049603204085,0.0686746038929265,-0.0151721990853746,-0.0181418426578925,"group","Others"
"14",2020,2020-06-30,6,"Indiana Teachers","Indiana State Teachers' Retirement Fund","Indiana",20371954,0.0537892857216733,0.0623096646717833,0.0686746038929265,-0.00852037895011004,-0.0148853181712532,"group","Others"
"15",2020,2020-06-30,6,"Iowa PERS","Iowa Public Employees' Retirement System","Iowa",41072428,0.0702014714101884,0.0640503450118506,0.0686746038929265,0.00615112639833781,0.00152686751726194,"group","Others"
"16",2020,2020-06-30,6,"Kansas PERS","Kansas Public Employees Retirement System","Kansas",29982336,0.069099837402929,0.0672571510757012,0.0686746038929265,0.00184268632722784,0.000425233510002565,"group","Others"
"17",2020,2020-06-30,6,"Kentucky County","County Employees Retirement System of Kentucky","Kentucky",20042168,0.0592571057706683,0.0649883798985984,0.0686746038929265,-0.00573127412793006,-0.00941749812225812,"group","Others"
"18",2020,2020-06-30,6,"Kentucky ERS","Kentucky Employees Retirement System","Kentucky",17632730,0.0592571057706683,0.0649883798985984,0.0686746038929265,-0.00573127412793006,-0.00941749812225812,"group","Others"
"19",2020,2020-06-30,6,"Kentucky Teachers","Teachers' Retirement System of the State of Kentucky","Kentucky",35582248,0.0704811719516183,0.0724556500947109,0.0686746038929265,-0.0019744781430926,0.00180656805869184,"group","Others"
"20",2020,2020-06-30,6,"Louisiana SERS","Louisiana State Employees' Retirement System","Louisiana",19691378,0.0640654054210588,0.064018784896464,0.0686746038929265,4.66205245948093e-05,-0.00460919847186769,"group","Others"
"21",2020,2020-06-30,6,"Louisiana Teachers","Louisiana State Teachers Retirement System","Louisiana",32341038,0.0740738335988371,0.0678807099379473,0.0686746038929265,0.00619312366088987,0.00539922970591067,"group","Others"
"22",2020,2020-06-30,6,"Maine State and Teacher","Maine Public Employees Retirement System - State and Teacher Retirement Program","Maine",14865460,0.0608234152558782,0.0680494158040861,0.0686746038929265,-0.00722600054820788,-0.00785118863704826,"group","Others"
"23",2020,2020-06-30,6,"Maryland Teachers","Maryland State Retirement and Pension System - Teachers Combined System","Maryland",44456528,0.0578395519597199,0.0666214478016534,0.0686746038929265,-0.00878189584193345,-0.0108350519332066,"group","Others"
"24",2020,2020-06-30,6,"Massachusetts SRS","Massachusetts State Retirement System","Massachusetts",44149760,0.0690525184781157,0.0640296623230385,0.0686746038929265,0.00502285615507714,0.00037791458518921,"group","Others"
"25",2020,2020-12-31,12,"Michigan Municipal","Municipal Employees' Retirement System of Michigan","Michigan",16199000,0.0684173688739389,0.0740312726804087,0.0769707408722551,-0.00561390380646976,-0.00855337199831618,"group","Others"
"26",2020,2020-09-30,9,"Michigan Public Schools","Michigan Public School Employees' Retirement System","Michigan",86337688,0.0728361215539997,0.0715264587127293,0.0690054606937465,0.00130966284127032,0.00383066086025319,"group","Others"
"27",2020,2020-09-30,9,"Michigan SERS","Michigan State Employees' Retirement System","Michigan",18742756,0.0723239950579524,0.0715958005811534,0.0690054606937465,0.000728194476798949,0.00331853436420593,"group","Others"
"28",2020,2020-06-30,6,"Minnesota GERF","Minnesota General Employees Retirement Plan","Minnesota",28626916,0.0757210001428328,0.0687299782337383,0.0686746038929265,0.00699102190909451,0.00704639624990633,"group","Others"
"29",2020,2020-06-30,6,"Minnesota State Employees","Minnesota State Employees Retirement Fund","Minnesota",15183843,0.0757210001428328,0.0687299782337383,0.0686746038929265,0.00699102190909451,0.00704639624990633,"group","Others"
"30",2020,2020-06-30,6,"Minnesota Teachers","Teachers Retirement Association of Minnesota","Minnesota",30129180,0.0757210001428328,0.0687299782337383,0.0686746038929265,0.00699102190909451,0.00704639624990633,"group","Others"
"31",2020,2020-06-30,6,"Mississippi PERS","Public Employees' Retirement System of Mississippi","Mississippi",47354464,0.0695824984819255,0.0709464399740447,0.0686746038929265,-0.00136394149211916,0.000907894588999092,"group","Others"
"32",2020,2020-06-30,6,"Missouri DOT and Highway","Missouri Department of Transportation and Highway Patrol Employees' Retirement System","Missouri",4092098,0.0663280257435357,0.0670860406063052,0.0686746038929265,-0.000758014862769496,-0.00234657814939077,"group","Others"
"33",2020,2020-06-30,6,"Nevada Police Officer and Firefighter","Public Employees' Retirement System of Nevada - Police and Firefighters Plan","Nevada",13605745,0.0715969031557444,0.0687823114702228,0.0686746038929265,0.00281459168552156,0.00292229926281795,"group","Others"
"34",2020,2020-06-30,6,"New Hampshire RS","New Hampshire Retirement System","New Hampshire",15488015,0.0663648009380857,0.0688187422638886,0.0686746038929265,-0.0024539413258029,-0.00230980295484073,"group","Others"
"35",2020,2020-06-30,6,"New Jersey PERS","Public Employees' Retirement System of New Jersey","New Jersey",62695236,0.0666291158589707,0.0637396001394961,0.0686746038929265,0.0028895157194746,-0.00204548803395577,"group","Others"
"36",2020,2020-06-30,6,"New Jersey Police & Fire","The Police and Firemen's Retirement System of New Jersey","New Jersey",44303184,0.0666291158589707,0.0637396001394961,0.0686746038929265,0.0028895157194746,-0.00204548803395577,"group","Others"
"37",2020,2020-06-30,6,"New Mexico PERA","Public Employees Retirement Association of New Mexico","New Mexico",22388870,0.0540830135343955,0.0689156905881794,0.0686746038929265,-0.0148326770537839,-0.014591590358531,"group","Others"
"38",2020,2020-06-30,6,"North Carolina Local Government","North Carolina Local Governmental Employees' Retirement System","North Carolina",30700922,0.0608792524185866,0.0645550002095245,0.0686746038929265,-0.00367574779093793,-0.00779535147433985,"group","Others"
"39",2020,2020-06-30,6,"North Carolina Teachers and State Employees","Teachers' and State Employees' Retirement System of North Carolina","North Carolina",84873312,0.0608792524185866,0.0645550002095245,0.0686746038929265,-0.00367574779093793,-0.00779535147433985,"group","Others"
"40",2020,2020-06-30,6,"North Dakota PERS","North Dakota Public Employees Retirement System","North Dakota",4717407.5,0.0608915503692522,0.0688745672484681,0.0686746038929265,-0.00798301687921588,-0.00778305352367425,"group","Others"
"41",2020,2020-12-31,12,"Ohio PERS","Ohio Public Employees Retirement System","Ohio",112832000,0.0717025080692646,0.0724231297333693,0.0769707408722551,-0.000720621664104693,-0.00526823280299049,"group","Others"
"42",2020,2020-12-31,12,"Ohio Police & Fire","Ohio Police & Fire Pension Fund","Ohio",22628592,0.0779099654982243,0.0737080480480559,0.0769707408722551,0.0042019174501684,0.000939224625969182,"group","Others"
"43",2020,2020-06-30,6,"Ohio Teachers","School Employees' Retirement System of Ohio","Ohio",96672288,0.0718902155007011,0.0678621560023969,0.0686746038929265,0.0040280594983042,0.00321561160777462,"group","Others"
"44",2020,2020-06-30,6,"Oklahoma PERS","Oklahoma Public Employees Retirement System","Oklahoma",10943079,0.0676763085665941,0.0680411138106978,0.0686746038929265,-0.00036480524410365,-0.000998295326332332,"group","Others"
"45",2020,2020-06-30,6,"Oregon PERS","Oregon Public Employees Retirement System","Oregon",89445696,0.0679021475084078,0.0661995771430099,0.0686746038929265,0.00170257036539789,-0.000772456384518616,"group","Others"
"46",2020,2020-06-30,6,"Pennsylvania School Employees","Public School Employees' Retirement System of Pennsylvania","Pennsylvania",107833400,0.060847128007737,0.0631359879883946,0.0686746038929265,-0.00228885998065764,-0.00782747588518951,"group","Others"
"47",2020,2020-12-31,12,"Pennsylvania State ERS","Pennsylvania State Employees' Retirement System","Pennsylvania",55098760,0.0646284318310986,0.0706557229821074,0.0769707408722551,-0.00602729115100886,-0.0123423090411565,"group","Others"
