"plan_name","fy","fye","month","plan_full_name","state","aal","mva","arr","return","acwi_exUS","IWV","VBTIX","opt_benchmark_return","custom_benchmark_return","cum_return","cum_opt_benchmark_return","cum_custom_benchmark_return","cum_opt_benchmark_excess","cum_custom_benchmark_excess","target"
"Alabama ERS",2005,NA,NA,"Employees' Retirement System of Alabama","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,"Others"
"Alabama ERS",2006,2006-09-30,9,"Employees' Retirement System of Alabama","Alabama",11457564,9001867,0.08,0.0837,0.188881704538457,0.0990839685682536,0.0370804466769512,0.0916367717867321,0.0984424591949036,1.0837,1.09163677178673,1.0984424591949,-0.00793677178673224,-0.0147424591949037,"Others"
"Alabama ERS",2007,2007-09-30,9,"Employees' Retirement System of Alabama","Alabama",12370342,10401218,0.08,0.1792,0.305399805762383,0.163062111977232,0.0528864670544316,0.148417273240632,0.158476957257422,1.27789904,1.25365452482453,1.27252027785047,0.0242445151754744,0.00537876214952804,"Others"
"Alabama ERS",2008,2008-09-30,9,"Employees' Retirement System of Alabama","Alabama",13078687,8647705,0.08,-0.1521,-0.303175791964051,-0.204466354709784,0.0390293480155315,-0.154409530183078,-0.151159531343043,1.083530596016,1.06007831863448,1.08016670902608,0.0234522773815196,0.00336388698992396,"Others"
"Alabama ERS",2009,2009-09-30,9,"Employees' Retirement System of Alabama","Alabama",13756176,7679005,0.08,-0.1003,0.058864142697501,-0.0783851752613691,0.106660242889933,-0.0229488325515436,0.00457831377579555,0.974852477235595,1.03575075880862,1.08511205115017,-0.0608982815730208,-0.110259573914571,"Others"
"Alabama ERS",2010,2010-09-30,9,"Employees' Retirement System of Alabama","Alabama",14284119,8176732,0.08,0.0847,0.0756101987725442,0.107995448938322,0.0782877598127671,0.0982472729181744,0.0926060921675,1.05742248205745,1.13751044628449,1.18560003777104,-0.0800879642270422,-0.128177555713593,"Others"
"Alabama ERS",2011,2011-09-30,9,"Employees' Retirement System of Alabama","Alabama",14366796,8130435,0.08,0.0221,-0.108117566917274,0.00634379328395718,0.0531050515145572,0.00812993181270323,-0.00252010128710906,1.08079151891092,1.14675832864902,1.18261220558986,-0.0659668097381034,-0.10182068667894,"Others"
"Alabama ERS",2012,2012-09-30,9,"Employees' Retirement System of Alabama","Alabama",13884995,9188696,0.08,0.1801,0.144831162279011,0.295524557484441,0.0505994448714993,0.224687295488904,0.191908344659473,1.27544207146678,1.40442035609255,1.4095653563387,-0.128978284625771,-0.134123284871921,"Others"
"Alabama ERS",2013,2013-09-30,9,"Employees' Retirement System of Alabama","Alabama",14536600,10091940,0.08,0.146,0.164781491002571,0.215914808121411,-0.0179926558190695,0.15586770009332,0.135515905515499,1.46165661390093,1.62332412696093,1.60058388198621,-0.161667513060009,-0.138927268085288,"Others"
"Alabama ERS",2014,2014-09-30,9,"Employees' Retirement System of Alabama","Alabama",15138294,10883952,0.08,0.1202,0.0476873600908032,0.174401646483075,0.039159417301283,0.131721571664631,0.108486120450083,1.63734773889182,1.83715093228534,1.77422501779783,-0.199803193393527,-0.136877278906014,"Others"
